IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.113.133,443,443,true,FRA,Europe,Frankfurt,330,4.32
64.110.80.201,2053,443,true,ICN,Asia Pacific,Seoul,124,4.30
84.8.150.128,443,443,true,FRA,Europe,Frankfurt,415,4.17
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,117,4.15
141.148.237.165,443,443,true,FRA,Europe,Frankfurt,253,4.15
143.47.230.197,443,443,true,FRA,Europe,Frankfurt,291,4.08
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,257,4.04
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,268,3.94
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,356,3.87
158.180.53.139,2087,2096,true,FRA,Europe,Frankfurt,334,3.84
132.145.54.84,2053,443,true,LHR,Europe,London,242,3.82
130.162.245.0,443,443,true,FRA,Europe,Frankfurt,258,3.82
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,249,3.78
84.8.148.235,8443,443,true,LHR,Europe,London,328,3.75
150.230.124.186,443,443,true,FRA,Europe,Frankfurt,255,3.75
140.238.65.113,443,443,true,LHR,Europe,London,251,3.73
141.144.254.235,443,443,true,FRA,Europe,Frankfurt,249,3.72
158.180.25.74,443,443,true,FRA,Europe,Frankfurt,329,3.71
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,263,3.70
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,249,3.68
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,248,3.67
193.122.59.53,443,443,true,FRA,Europe,Frankfurt,326,3.64
150.230.115.21,443,443,true,FRA,Europe,Frankfurt,316,3.63
150.230.117.107,443,443,true,FRA,Europe,Frankfurt,266,3.61
141.147.92.162,443,443,true,FRA,Europe,Frankfurt,302,3.61
158.180.14.238,443,443,true,FRA,Europe,Frankfurt,257,3.61
158.101.164.251,443,443,true,FRA,Europe,Frankfurt,249,3.60
141.147.105.30,443,443,true,FRA,Europe,Frankfurt,351,3.60
130.61.96.154,443,443,true,FRA,Europe,Frankfurt,256,3.60
140.238.102.114,8443,443,true,LHR,Europe,London,251,3.57
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,337,3.57
89.168.105.112,443,443,true,FRA,Europe,Frankfurt,331,3.56
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,253,3.53
150.230.144.46,443,443,true,FRA,Europe,Frankfurt,324,3.52
144.24.183.13,443,443,true,FRA,Europe,Frankfurt,258,3.52
89.168.76.173,443,443,true,FRA,Europe,Frankfurt,325,3.52
141.147.110.190,443,443,true,FRA,Europe,Frankfurt,258,3.51
155.248.202.141,443,443,true,SJC,North America,San Jose,194,3.51
143.47.185.62,443,443,true,FRA,Europe,Frankfurt,266,3.50
193.123.57.137,443,443,true,FRA,Europe,Frankfurt,273,3.50
193.122.1.5,443,443,true,FRA,Europe,Frankfurt,262,3.50
132.226.200.43,443,443,true,FRA,Europe,Frankfurt,249,3.50
